date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:33	53472/53472	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:31%20GMT	https://haitacmanhnhat.vn/	./haitac_site/haitacmanhnhat.vn/index.html	(from )
19:40:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://haitacmanhnhat.vn/st-ms/imgs/600x315.jpg	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/600x315.0.delayed	(from https://haitacmanhnhat.vn/)
19:40:35	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Oct%202025%2012:40:34%20GMT	https://cdn-ms.haitacmanhnhat.vn/	./haitac_site/cdn-ms.haitacmanhnhat.vn/index.html	(from https://haitacmanhnhat.vn/)
19:40:35	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Oct%202025%2012:40:34%20GMT	https://fonts.googleapis.com/	./haitac_site/fonts.googleapis.com/index.html	(from https://haitacmanhnhat.vn/)
19:40:35	262410/262410	---M--	200	added ('OK')	image/jpeg	etag:%225a29ce0d32b733478c680fec02ccbf66%22	https://haitacmanhnhat.vn/st-ms/imgs/600x315.jpg	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/600x315.jpg	(from https://haitacmanhnhat.vn/)
19:40:35	2698/2698	---M--	200	added ('OK')	image/png	etag:%2223d7a67dd40319c8ee73790012dbfb25%22	https://haitacmanhnhat.vn/st-ms/imgs/32x32.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/32x32.png	(from https://haitacmanhnhat.vn/)
19:40:37	232018/232018	---M--	200	added ('OK')	text/css	etag:%22945fb3ff8106aaf5eda73c29e0d47826%22	https://haitacmanhnhat.vn/st-ms/css/bootstrap.min.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/bootstrap.min.css	(from https://haitacmanhnhat.vn/)
19:40:38	385840/385840	---M--	200	added ('OK')	text/css	etag:%220274da85e8f3de506ee1e2ee7c711d46%22	https://haitacmanhnhat.vn/st-ms/css/all.min.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/all.min.css	(from https://haitacmanhnhat.vn/)
19:40:38	1776/1776	---M--	200	added ('OK')	text/css	etag:%22f38b2db10e01b1572732a3191d538707%22	https://haitacmanhnhat.vn/st-ms/css/slick.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/slick.css	(from https://haitacmanhnhat.vn/)
19:40:39	3151/3151	---M--	200	added ('OK')	text/css	etag:%221c7aba15c1c531950c2e7c5c260a6ea0%22	https://haitacmanhnhat.vn/st-ms/css/slick-theme.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/slick-theme.css	(from https://haitacmanhnhat.vn/)
19:40:40	7659/7659	---M--	200	added ('OK')	text/css	etag:%22681eaf47233303f4b7d36fcfada95016%22	https://haitacmanhnhat.vn/st-ms/css/daterangepicker.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/daterangepicker.css	(from https://haitacmanhnhat.vn/)
19:40:41	1535/1535	---M--	200	added ('OK')	text/css	etag:%224119e7d88ea87b6eaa06f21b0776d000%22	https://haitacmanhnhat.vn/st-ms/css/letmescroll.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/letmescroll.css	(from https://haitacmanhnhat.vn/)
19:40:42	16264/16264	---M--	200	added ('OK')	text/css	etag:%22e71c39430469a3eea74514a2b48f6536%22	https://haitacmanhnhat.vn/st-ms/css/select2.min.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/select2.min.css	(from https://haitacmanhnhat.vn/)
19:40:43	28765/28765	---M--	200	added ('OK')	text/css	etag:%226bb5545318038a2cfb38a19581c581f9%22	https://haitacmanhnhat.vn/st-ms/css/aos.css	./haitac_site/haitacmanhnhat.vn/st-ms/css/aos.css	(from https://haitacmanhnhat.vn/)
19:40:44	79260/79260	---M--	200	added ('OK')	text/css	etag:%22e5c4670c792a0b23ee30c4f0a4736231%22	https://haitacmanhnhat.vn/st-ms/css/style.css?v=20251018100049	./haitac_site/haitacmanhnhat.vn/st-ms/css/styled768.css	(from https://haitacmanhnhat.vn/)
19:40:45	51336/51336	---M--	200	added ('OK')	text/css	etag:%2211c18984b4c7c54a068015c5c5f8da83%22	https://haitacmanhnhat.vn/st-ms/css/responsive.css?v=20251018100049	./haitac_site/haitacmanhnhat.vn/st-ms/css/responsived768.css	(from https://haitacmanhnhat.vn/)
19:40:47	169049/169049	---M--	200	added ('OK')	text/javascript	etag:%2230de5484dd789bec66cb84498907e075%22	https://haitacmanhnhat.vn/st-ms/js/jquery-1.11.0.min.js	./haitac_site/haitacmanhnhat.vn/st-ms/js/jquery-1.11.0.min.js	(from https://haitacmanhnhat.vn/)
19:40:47	80743/80743	---M--	200	added ('OK')	text/javascript	etag:%2243629cbd1e4634150e99b74d2c35a725%22	https://haitacmanhnhat.vn/st-ms/js/bootstrap.bundle.min.js	./haitac_site/haitacmanhnhat.vn/st-ms/js/bootstrap.bundle.min.js	(from https://haitacmanhnhat.vn/)
19:40:49	114550/114550	---M--	200	added ('OK')	image/png	etag:%22f75fc1865fdbac7190ca13b8ba16c7d5%22	https://haitacmanhnhat.vn/st-ms//imgs/logo.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/logo.png	(from https://haitacmanhnhat.vn/)
19:40:49	2489/2489	---M--	200	added ('OK')	image/png	etag:%22bc1bac20f9a932a5bf8f08eb3b4621b2%22	https://haitacmanhnhat.vn/st-ms//imgs/menu/bg-menu-nav.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/menu/bg-menu-nav.png	(from https://haitacmanhnhat.vn/)
19:40:51	43987/43987	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:50%20GMT	https://haitacmanhnhat.vn/tin-tuc	./haitac_site/haitacmanhnhat.vn/tin-tuc.html	(from https://haitacmanhnhat.vn/)
19:40:52	62228/62228	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:51%20GMT	https://haitacmanhnhat.vn/danh-sach-tuong	./haitac_site/haitacmanhnhat.vn/danh-sach-tuong.html	(from https://haitacmanhnhat.vn/)
19:40:53	79637/79637	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:52%20GMT	https://haitacmanhnhat.vn/trai-ac-quy	./haitac_site/haitacmanhnhat.vn/trai-ac-quy.html	(from https://haitacmanhnhat.vn/)
19:40:54	75534/75534	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:53%20GMT	https://haitacmanhnhat.vn/trai-dung-hop	./haitac_site/haitacmanhnhat.vn/trai-dung-hop.html	(from https://haitacmanhnhat.vn/)
19:40:55	28508/28508	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:54%20GMT	https://haitacmanhnhat.vn/id	./haitac_site/haitacmanhnhat.vn/id.html	(from https://haitacmanhnhat.vn/)
19:40:56	41477/41477	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:55%20GMT	https://haitacmanhnhat.vn/qua-nap-web	./haitac_site/haitacmanhnhat.vn/qua-nap-web.html	(from https://haitacmanhnhat.vn/)
19:40:57	25646/25646	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:56%20GMT	https://haitacmanhnhat.vn/lich-su-nap	./haitac_site/haitacmanhnhat.vn/lich-su-nap.html	(from https://haitacmanhnhat.vn/)
19:40:58	25541/25541	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:40:57%20GMT	https://haitacmanhnhat.vn/id/doi-mat-khau	./haitac_site/haitacmanhnhat.vn/id/doi-mat-khau.html	(from https://haitacmanhnhat.vn/)
19:40:58	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Oct%202025%2012:40:58%20GMT	https://haitacmanhnhat.vn/id/dang-xuat	./haitac_site/haitacmanhnhat.vn/id/dang-xuat.19.delayed	(from https://haitacmanhnhat.vn/)
19:40:59	15103/15103	---M--	200	added ('OK')	image/png	etag:%22be02db8b3aaf8710c9f942db2ce057ef%22	https://haitacmanhnhat.vn/st-ms//imgs/logo-warning.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/logo-warning.png	(from https://haitacmanhnhat.vn/)
19:41:00	0/-1	---M--	302	error ('')			https://haitacmanhnhat.vn/id/dang-xuat	./haitac_site/haitacmanhnhat.vn/id/dang-xuat.1b.delayed	(from https://haitacmanhnhat.vn/)
19:41:02	28284/28284	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:01%20GMT	https://haitacmanhnhat.vn/tin-tuc/huong-dan-tai-va-cai-dat-game.html	./haitac_site/haitacmanhnhat.vn/tin-tuc/huong-dan-tai-va-cai-dat-game.html	(from https://haitacmanhnhat.vn/)
19:41:03	97971/97971	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:02%20GMT	https://haitacmanhnhat.vn/giftcode	./haitac_site/haitacmanhnhat.vn/giftcode.html	(from https://haitacmanhnhat.vn/)
